date,open,high,low,close,volume,average,barCount,MACD,MACD_Signal,MACD_Histogram,RSI
2025-11-07,269.8,272.29,266.77,268.47,26175677.0,269.126,152179,5.494991111160118,5.604921234492232,-0.10993012333211372,63.5966826713227
2025-11-10,269.11,273.73,267.45,269.43,21519593.0,270.307,113147,5.268098462544344,5.537556680102655,-0.26945821755831023,64.26735218509012
2025-11-11,269.85,275.91,269.8,275.25,28169517.0,273.857,145757,5.494571761064208,5.528959696294965,-0.03438793523075745,83.81642512077316
2025-11-12,275.13,275.73,271.7,273.47,22195716.0,273.809,109360,5.467397601658831,5.516647277367738,-0.04924967570890715,77.24597881522192
2025-11-13,274.27,276.7,272.09,272.95,21873012.0,273.601,123551,5.3423192989719155,5.481781681688574,-0.13946238271665834,72.24418093983323
2025-11-14,271.02,275.96,269.6,272.41,23280086.0,273.274,128503,5.140365423089349,5.41349842996873,-0.27313300687938025,60.392609699769224
2025-11-17,268.83,270.49,265.73,267.46,21315797.0,267.958,119365,4.528687994143297,5.236536342803643,-0.7078483486603462,46.51268115942022
2025-11-18,269.99,270.71,265.32,267.44,21656608.0,267.826,123349,3.9962491196796464,4.988478898178844,-0.9922297784991976,44.71962616822429
2025-11-19,265.54,272.21,265.5,268.56,20306034.0,269.637,107132,3.6228995841918277,4.715363035381441,-1.0924634511896132,43.1796349663785
2025-11-20,270.92,275.43,265.92,266.25,24720694.0,270.404,139801,3.1048291551436478,4.393256259333882,-1.2884271041902347,40.678733031674156
2025-11-21,265.94,273.33,265.67,271.49,30497866.0,270.188,158669,3.0815565494204975,4.130916317351206,-1.0493597679307083,54.688700999231365
2025-11-24,271.15,277.0,270.9,275.92,27718426.0,275.067,145498,3.381595886253706,3.981052231131706,-0.5994563448779999,59.97963340122202
2025-11-25,275.27,280.38,275.25,276.97,22238341.0,278.44,114398,3.6618934192568418,3.9172204687567334,-0.2553270494998916,61.229858599145096
2025-11-26,276.96,279.53,276.63,277.55,16594108.0,278.245,91254,3.886036575663752,3.910983690138137,-0.024947114474385135,62.70411495754416
2025-11-28,277.37,279.0,275.98,278.85,9498788.0,277.123,50506,4.121065697342544,3.953000091579019,0.16806560576352547,66.94970607446112
2025-12-01,278.1,283.42,276.14,283.1,23631616.0,280.273,114485,4.597272949970204,4.081854663257256,0.515418286712948,70.15629607785314
2025-12-02,282.99,287.4,282.63,286.19,26066733.0,285.464,127538,5.1644749518868025,4.298378720983165,0.8660962309036373,67.54329698524694
2025-12-03,286.2,288.62,283.3,284.15,22586909.0,286.015,115481,5.387274526586282,4.516157882103789,0.8711166444824929,66.98473282442737
2025-12-04,284.1,284.73,278.59,280.7,22430124.0,280.746,122577,5.2252254808199154,4.657971401847014,0.5672540789729013,61.27436718068083
